Database ID,Sample ID,Ecosystem,Sample type,Common name,Scientific name,Bush food group,Wildlife group,Compartment,Composite count,Dry mass fraction,Sex,Mussel age (y),Soil depth (cm),Family code,Collection date (day/month/year),Location,Status,Easting,Northing,Zone,Datum,Geocoding,U-238,U-238err,U-234,U-234err,Th-230,Th-230err,Ra-226,Ra-226err,Pb-210,Pb-210err,Po-210,Po-210err,Th-232,Th-232err,Ra-228,Ra-228err,Th-228,Th-228err,Ac-227,Ac-227err,K-40,K-40err,Al,As,Ba,Ca,Cd,Co,Cr,Cu,Fe,Hg,K,Mg,Mn,Na,Ni,P,Pb,Rb,S,Sb,Se,Sr,Th,U,V,Zn,Reference,Notes
640,D03385,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Bone,1,4.9E-1,M,,,FISH0256,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,5.5E+2,9.5E+4,,,,2.9E-1,,,,1.1E+3,2.9E+1,,,,2.0E-1,1.7E+0,,,,,,4.9E-3,,1.2E+2,18,
641,D03383,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Flesh,1,2.2E-1,M,,,FISH0256,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,2.3E-1,9.1E+1,,,,8.7E-2,,,,2.4E+2,5.4E-2,,,,<4.3E-2,1.2E+1,,,,,,<2.2E-3,,3.7E+0,18,
642,D03384,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Liver,1,2.4E-1,M,,,FISH0256,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,1.1E+0,5.8E+1,,,,5.3E+1,,,,1.0E+2,1.2E+0,,,,<4.8E-2,7.0E+0,,,,,,<2.4E-3,,3.3E+2,18,
643,D03388,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Bone,1,4.9E-1,,,,FISH0257,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,2.7E+2,9.8E+4,,,,3.9E-1,,,,1.2E+3,1.7E+1,,,,<9.7E-2,1.6E+0,,,,,,<4.9E-3,,1.5E+2,18,
644,D03386,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Flesh,1,2.2E-1,,,,FISH0257,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,7.7E-2,9.5E+1,,,,8.8E-2,,,,2.6E+2,5.5E-2,,,,<4.4E-2,1.3E+1,,,,,,<2.2E-3,,3.0E+0,18,
645,SBB07014,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Flesh,1,3.2E-1,,,,FISH0257,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,9.0E-1,4.8E-2,<4.1E-1,,<6.1E-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Sub-sample of D03386.
646,D03387,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Liver,1,1.9E-1,,,,FISH0257,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,7.6E-1,7.4E+1,,,,2.7E+1,,,,8.1E+1,8.1E-1,,,,<3.8E-2,5.9E+0,,,,,,<1.9E-3,,3.0E+2,18,
647,D03391,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Bone,1,4.5E-1,,,,FISH0258,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,2.9E+2,9.3E+4,,,,1.8E-1,,,,1.2E+3,2.1E+1,,,,<9.1E-2,1.5E+0,,,,,,<4.5E-3,,1.1E+2,18,
648,D03389,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Flesh,1,2.0E-1,,,,FISH0258,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,2.7E-1,9.3E+1,,,,7.9E-2,,,,2.4E+2,5.0E-2,,,,<4.0E-2,8.5E+0,,,,,,<2.0E-3,,3.7E+0,18,
649,D03390,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Liver,1,1.6E-1,,,,FISH0258,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,2.0E-1,9.0E+1,,,,2.0E+1,,,,9.0E+1,7.4E-1,,,,<3.3E-2,3.5E+0,,,,,,<1.6E-3,,2.8E+2,18,
650,D03394,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Bone,1,5.2E-1,M,,,FISH0259,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,5.8E+2,1.1E+5,,,,3.1E-1,,,,1.4E+3,2.6E+1,,,,1.0E-1,2.4E+0,,,,,,5.2E-3,,1.5E+2,18,
651,D03392,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Flesh,1,2.1E-1,M,,,FISH0259,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,1.1E-1,8.7E+1,,,,8.5E-2,,,,2.5E+2,5.3E-2,,,,<4.3E-2,1.4E+1,,,,,,<2.1E-3,,3.4E+0,18,
652,D03393,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Liver,1,2.0E-1,M,,,FISH0259,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,5.6E-1,7.3E+1,,,,2.6E+1,,,,8.3E+1,9.2E-1,,,,<4.0E-2,6.4E+0,,,,,,<2.0E-3,,4.1E+2,18,
653,D03397,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Bone,1,4.8E-1,F,,,FISH0260,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,6.9E+1,1.0E+5,,,,1.9E-1,,,,1.2E+3,1.1E+1,,,,<9.7E-2,1.6E+0,,,,,,<4.8E-3,,1.1E+2,18,
654,D03395,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Flesh,1,2.0E-1,F,,,FISH0260,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,6.1E-2,8.3E+1,,,,8.1E-2,,,,2.4E+2,4.0E-2,,,,<4.0E-2,9.4E+0,,,,,,<2.0E-3,,3.3E+0,18,
655,D03396,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Liver,1,2.0E-1,F,,,FISH0260,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,1.1E-1,1.1E+2,,,,2.2E+1,,,,1.0E+2,7.8E-1,,,,<4.0E-2,4.2E+0,,,,,,<2.0E-3,,3.5E+2,18,
656,D03400,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Bone,1,5.3E-1,M,,,FISH0261,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,3.2E+2,1.1E+5,,,,2.1E-1,,,,1.3E+3,1.6E+1,,,,<1.1E-1,1.5E+0,,,,,,<5.3E-3,,1.3E+2,18,
657,D03398,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Flesh,1,2.3E-1,M,,,FISH0261,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,4.6E-2,8.7E+1,,,,9.2E-2,,,,2.6E+2,5.7E-2,,,,<4.6E-2,1.1E+1,,,,,,<2.3E-3,,3.9E+0,18,
658,D03399,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Liver,1,2.4E-1,M,,,FISH0261,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,6.3E-1,4.5E+1,,,,1.9E+1,,,,9.1E+1,4.0E-1,,,,<4.8E-2,6.8E+0,,,,,,<2.4E-3,,2.4E+2,18,
659,D03406,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Bone,1,5.2E-1,M,,,FISH0262,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,4.0E+2,9.8E+4,,,,2.1E-1,,,,1.2E+3,2.1E+1,,,,<1.0E-1,1.7E+0,,,,,,<5.2E-3,,1.3E+2,18,
660,D03404,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Flesh,1,2.2E-1,M,,,FISH0262,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,1.4E-1,8.9E+1,,,,8.9E-2,,,,2.4E+2,7.8E-2,,,,<4.5E-2,1.2E+1,,,,,,<2.2E-3,,3.2E+0,18,
661,D03409,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Bone,1,4.9E-1,M,,,FISH0263,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,3.6E+2,1.0E+5,,,,2.0E-1,,,,1.2E+3,1.6E+1,,,,<9.8E-2,1.6E+0,,,,,,<4.9E-3,,1.1E+2,18,
662,D03407,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Flesh,1,2.2E-1,M,,,FISH0263,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,8.6E-2,9.5E+1,,,,8.6E-2,,,,2.5E+2,7.6E-2,,,,<4.3E-2,9.8E+0,,,,,,<2.2E-3,,3.9E+0,18,
663,D03412,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Bone,1,4.7E-1,M,,,FISH0264,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,7.8E+1,9.5E+4,,,,1.9E-1,,,,1.1E+3,2.2E+1,,,,<9.4E-2,1.5E+0,,,,,,<4.7E-3,,1.0E+2,18,
664,D03410,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Flesh,1,2.2E-1,M,,,FISH0264,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,4.4E-2,8.8E+1,,,,8.8E-2,,,,2.4E+2,5.5E-2,,,,<4.4E-2,9.6E+0,,,,,,<2.2E-3,,3.2E+0,18,
665,SBB07010,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Flesh,1,2.5E-1,M,,,FISH0264,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,4.3E-1,2.2E-2,,,5.7E-1,1.1E-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Sub-sample of D03410.
666,D03415,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Bone,1,5.2E-1,F,,,FISH0265,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,6.2E+1,1.0E+5,,,,2.1E-1,,,,1.2E+3,2.3E+1,,,,<1.0E-1,1.8E+0,,,,,,<5.2E-3,,9.6E+1,18,
667,D03413,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Flesh,1,2.1E-1,F,,,FISH0265,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,,,3.1E-2,9.3E+1,,,,8.3E-2,,,,2.3E+2,6.2E-2,,,,<4.1E-2,9.9E+0,,,,,,<2.1E-3,,3.5E+0,18,
668,SBB07008,Freshwater,Animal,Fork-tailed catfish,Arius leptaspis,Fish group 2,Freshwater-Fish,Flesh,1,3.4E-1,F,,,FISH0265,16/10/2007,Sandy Billabong,Unperturbed,259188,8572593,53S,WGS84,2,,,,,,,6.4E-1,3.4E-2,,,8.3E-1,1.6E-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Sub-sample of D03413.
669,30545,Freshwater,Animal,Black catfish,Neosilurus ater,Fish group 2,Freshwater-Fish,Flesh,1,,,,,FISH0266,03/10/2001,Swift Creek (Ngarradj) - Upstream main channel,Unperturbed,274869,8616759,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,7.8E+1,<1.0E-2,,4.1E-1,1.2E-1,1.6E+0,,4.3E+3,3.1E+2,1.6E-1,3.8E+2,4.1E-2,,<2.0E-2,,,,,,,<1.0E-2,,3.7E+0,18,
670,30544,Freshwater,Animal,Black catfish,Neosilurus ater,Fish group 2,Freshwater-Fish,Liver,1,,,,,FISH0266,03/10/2001,Swift Creek (Ngarradj) - Upstream main channel,Unperturbed,274869,8616759,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,5.5E+1,3.1E-2,,<4.1E-1,1.6E+1,1.4E+2,,2.2E+3,1.3E+2,2.0E+0,1.2E+3,1.0E-1,,<2.0E-2,,,,,,,<1.0E-2,,2.7E+1,18,
671,30549,Freshwater,Animal,Black catfish,Neosilurus ater,Fish group 2,Freshwater-Fish,Flesh,1,,,,,FISH0267,03/10/2001,Swift Creek (Ngarradj) - Upstream main channel,Unperturbed,274869,8616759,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,6.6E+1,<1.0E-2,,4.1E-1,1.2E-1,3.9E+0,,4.1E+3,3.1E+2,2.0E-1,3.8E+2,<4.1E-2,,<2.0E-2,,,,,,,<1.0E-2,,3.7E+0,18,
672,30548,Freshwater,Animal,Black catfish,Neosilurus ater,Fish group 2,Freshwater-Fish,Liver,1,,,,,FISH0267,03/10/2001,Swift Creek (Ngarradj) - Upstream main channel,Unperturbed,274869,8616759,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,6.2E+1,7.8E-2,,<4.1E-1,1.2E+1,1.5E+2,,2.3E+3,1.5E+2,2.2E+0,1.6E+3,1.2E-1,,2.0E-2,,,,,,,<1.0E-2,,2.9E+1,18,
673,30555,Freshwater,Animal,Black catfish,Neosilurus ater,Fish group 2,Freshwater-Fish,Flesh,1,,,,,FISH0268,03/10/2001,Swift Creek (Ngarradj) - Upstream main channel,Unperturbed,274869,8616759,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,9.8E+1,<1.0E-2,,<4.1E-1,1.6E-1,2.2E+0,,3.9E+3,2.9E+2,2.9E-1,4.2E+2,6.1E-2,,<2.0E-2,,,,,,,<1.0E-2,,4.3E+0,18,
674,30554,Freshwater,Animal,Black catfish,Neosilurus ater,Fish group 2,Freshwater-Fish,Liver,1,,,,,FISH0268,03/10/2001,Swift Creek (Ngarradj) - Upstream main channel,Unperturbed,274869,8616759,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,6.2E+1,1.8E-2,,<4.1E-1,1.1E+1,8.2E+1,,2.3E+3,1.5E+2,1.6E+0,1.6E+3,6.1E-2,,<2.0E-2,,,,,,,<1.0E-2,,2.6E+1,18,
675,30563,Freshwater,Animal,Spangled grunter,Leiopotherapon unicolor,,Freshwater-Fish,Flesh,1,,,,,FISH0269,03/10/2001,Swift Creek (Ngarradj) - Upstream main channel,Unperturbed,274869,8616759,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,1.4E+2,<1.0E-2,,4.1E-1,1.4E-1,4.1E+0,,3.8E+3,3.1E+2,1.0E-1,3.4E+2,1.0E-1,,4.1E-2,,,,,,,<1.0E-2,,2.7E+0,18,
676,30562,Freshwater,Animal,Spangled grunter,Leiopotherapon unicolor,,Freshwater-Fish,Liver,1,,,,,FISH0269,03/10/2001,Swift Creek (Ngarradj) - Upstream main channel,Unperturbed,274869,8616759,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,6.5E+0,,,1.2E+2,2.8E-1,,<4.1E-1,3.3E+0,4.8E+2,,2.3E+3,1.6E+2,1.9E+0,1.7E+3,3.7E-1,,2.0E-2,,,,,,,<1.0E-2,,2.1E+1,18,
677,30581,Freshwater,Animal,Saratoga,Scleropages jardini,Fish group 2,Freshwater-Fish,Flesh,1,,,,,FISH0270,04/10/2001,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,6.3E+2,<1.0E-2,,4.1E-1,1.2E-1,2.5E+0,,3.4E+3,3.0E+2,5.1E-1,3.4E+2,6.1E-2,,<2.0E-2,,,,,,,<1.0E-2,,4.9E+0,18,
678,30580,Freshwater,Animal,Saratoga,Scleropages jardini,Fish group 2,Freshwater-Fish,Liver,1,,,,,FISH0270,04/10/2001,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,1.1E+2,5.7E-2,,<4.1E-1,5.7E+0,3.6E+2,,2.5E+3,1.5E+2,8.2E-1,1.1E+3,1.8E-1,,<2.0E-2,,,,,,,<1.0E-2,,1.9E+1,18,
679,30585,Freshwater,Animal,Saratoga,Scleropages jardini,Fish group 2,Freshwater-Fish,Flesh,1,,,,,FISH0271,04/10/2001,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,2.4E+2,<1.0E-2,,4.1E-1,1.0E-1,2.7E+0,,3.1E+3,2.8E+2,3.9E-1,2.9E+2,2.0E-1,,<2.0E-2,,,,,,,<1.0E-2,,3.1E+0,18,
680,30584,Freshwater,Animal,Saratoga,Scleropages jardini,Fish group 2,Freshwater-Fish,Liver,1,,,,,FISH0271,04/10/2001,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,9.0E+0,1.2E-2,,<4.1E-1,8.6E-1,1.3E+2,,6.3E+2,3.7E+1,2.9E-1,2.7E+2,6.1E-2,,<2.0E-2,,,,,,,<1.0E-2,,4.7E+0,18,
681,30593,Freshwater,Animal,Saratoga,Scleropages jardini,Fish group 2,Freshwater-Fish,Flesh,1,,,,,FISH0272,04/10/2001,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,1.1E+2,<1.0E-2,,<4.1E-1,<4.1E-2,<1.0E+0,,6.7E+2,6.1E+1,1.0E-1,6.3E+1,<4.1E-2,,<2.0E-2,,,,,,,<1.0E-2,,1.0E+0,18,
682,30592,Freshwater,Animal,Saratoga,Scleropages jardini,Fish group 2,Freshwater-Fish,Liver,1,,,,,FISH0272,04/10/2001,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,3.6E+1,4.7E-2,,<4.1E-1,3.3E+0,3.3E+2,,2.2E+3,1.2E+2,6.3E-1,9.2E+2,8.2E-2,,<2.0E-2,,,,,,,<1.0E-2,,1.5E+1,18,
683,30595,Freshwater,Animal,Saratoga,Scleropages jardini,Fish group 2,Freshwater-Fish,Flesh,1,,,,,FISH0273,04/10/2001,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,3.1E+2,<1.0E-2,,<4.1E-1,8.2E-2,2.0E+0,,3.5E+3,3.0E+2,3.9E-1,3.7E+2,4.1E-2,,<2.0E-2,,,,,,,<1.0E-2,,3.3E+0,18,
684,30594,Freshwater,Animal,Saratoga,Scleropages jardini,Fish group 2,Freshwater-Fish,Liver,1,,,,,FISH0273,04/10/2001,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,3.6E+1,4.3E-2,,<4.1E-1,2.3E+0,3.1E+2,,2.2E+3,1.2E+2,8.0E-1,1.0E+3,6.1E-2,,<2.0E-2,,,,,,,<1.0E-2,,1.5E+1,18,
685,30663,Freshwater,Animal,Chequered rainbowfish,Melanotaenia splendida inornata,,Freshwater-Fish,Flesh,1,,,,,FISH0274,04/10/2001,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,2.3E+2,<1.0E-2,,<4.1E-1,8.2E-2,2.7E+0,,3.8E+3,3.0E+2,2.5E-1,4.2E+2,6.1E-2,,<2.0E-2,,,,,,,<1.0E-2,,3.7E+0,18,
686,30664,Freshwater,Animal,Chequered rainbowfish,Melanotaenia splendida inornata,,Freshwater-Fish,Liver,1,,,,,FISH0274,04/10/2001,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.0E+0,,,7.6E+1,6.5E-2,,<4.1E-1,2.6E+0,4.1E+2,,2.3E+3,1.7E+2,1.6E+0,1.7E+3,8.2E-2,,<2.0E-2,,,,,,,<1.0E-2,,2.0E+1,18,
687,31226,Freshwater,Animal,Chequered rainbowfish,Melanotaenia splendida inornata,,Freshwater-Fish,Whole,1,2.6E-1,,,,FISH0275,17/04/2002,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.6E+0,,9.2E+0,1.3E+4,<1.3E-2,8.2E-2,<2.6E+0,8.0E-1,<1.3E+1,,1.9E+3,4.6E+2,2.4E+0,5.9E+2,5.1E-1,,<5.1E-2,,,,,1.1E+2,,<2.6E-3,,3.3E+1,18,
688,31227,Freshwater,Animal,Chequered rainbowfish,Melanotaenia splendida inornata,,Freshwater-Fish,Whole,2,2.4E-1,,,,FISH0276,17/04/2002,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,3.3E+0,,7.8E+0,1.0E+4,<1.2E-2,7.5E-2,<2.4E+0,3.3E-1,1.4E+1,,1.6E+3,3.9E+2,2.3E+0,5.0E+2,4.0E-1,,<4.7E-2,,,,,7.5E+1,,<2.4E-3,,3.3E+1,18,
689,31228,Freshwater,Animal,Chequered rainbowfish,Melanotaenia splendida inornata,,Freshwater-Fish,Whole,3,1.8E-1,,,,FISH0277,17/04/2002,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,2.7E+0,,1.1E+1,1.2E+4,<9.1E-3,1.1E-1,<1.8E+0,4.7E-1,2.1E+1,,1.6E+3,3.8E+2,3.0E+0,5.5E+2,4.4E-1,,<3.6E-2,,,,,8.9E+1,,<1.8E-3,,4.0E+1,18,
690,31229,Freshwater,Animal,Spangled grunter,Leiopotherapon unicolor,,Freshwater-Fish,Whole,1,2.2E-1,,,,FISH0278,17/04/2002,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.2E+0,,6.9E+0,1.3E+4,<1.1E-2,5.4E-2,<2.2E+0,3.6E-1,1.7E+1,,2.4E+3,4.0E+2,1.2E+1,7.8E+2,5.1E-1,,<4.5E-2,,,,,6.2E+1,,<2.2E-3,,2.0E+1,18,
691,31230,Freshwater,Animal,Spangled grunter,Leiopotherapon unicolor,,Freshwater-Fish,Whole,1,1.8E-1,,,,FISH0279,17/04/2002,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<1.8E+0,,6.8E+0,9.5E+3,<9.2E-3,5.1E-2,<1.8E+0,2.8E-1,2.1E+1,,2.0E+3,3.6E+2,1.2E+1,6.7E+2,3.9E-1,,<3.7E-2,,,,,5.8E+1,,<1.8E-3,,2.4E+1,18,
692,31231,Freshwater,Animal,Spangled grunter,Leiopotherapon unicolor,,Freshwater-Fish,Whole,1,2.4E-1,,,,FISH0280,17/04/2002,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,2.6E+0,,5.3E+0,8.6E+3,<1.2E-2,1.1E-1,<2.4E+0,4.1E-1,2.3E+1,,1.8E+3,3.6E+2,8.7E+0,7.5E+2,3.6E-1,,<4.8E-2,,,,,4.5E+1,,<2.4E-3,,2.4E+1,18,
693,31232,Freshwater,Animal,Black bream,Hephaestus fuliginosus,,Freshwater-Fish,Whole,1,2.7E-1,,,,FISH0281,17/04/2002,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,6.5E+0,,1.2E+1,1.4E+4,<1.4E-2,9.2E-2,<2.7E+0,2.4E-1,3.1E+1,,1.3E+3,4.0E+2,1.4E+1,5.8E+2,5.4E-1,,<5.4E-2,,,,,1.0E+2,,<2.7E-3,,4.1E+1,18,
694,31233,Freshwater,Animal,Black bream,Hephaestus fuliginosus,,Freshwater-Fish,Whole,1,2.8E-1,,,,FISH0282,17/04/2002,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,<2.8E+0,,1.4E+1,1.1E+4,<1.4E-2,1.3E-1,<2.8E+0,2.0E-1,2.3E+1,,1.1E+3,3.2E+2,2.1E+1,5.0E+2,4.5E-1,,<5.6E-2,,,,,1.0E+2,,<2.8E-3,,4.6E+1,18,
695,31234,Freshwater,Animal,Black-banded rainbowfish,Melanotaenia nigrans,,Freshwater-Fish,Whole,7,1.9E-1,,,,FISH0283,17/04/2002,Catfish Creek - Upstream fish sampling site,Unperturbed,277208,8621768,53S,WGS84,2,,,,,,,,,,,,,,,,,,,,,,,1.0E+1,,2.3E+1,1.4E+4,<9.5E-3,1.3E-1,<1.9E+0,1.0E+0,3.4E+1,,1.2E+3,5.2E+2,2.9E+0,6.0E+2,5.9E-1,,1.5E-1,,,,,1.4E+2,,3.8E-3,,7.5E+1,18,
